;Year ;War Name ;War_id;Type of war
512;1974; Angola Guerilla War of 1974-1975 ;Non-State War #1581 ;Non-State War 
513;1975; Eritrean War of 1975-1978 ;Intra-State War #798 ;Intra-State War 
514;1975; Argentine Leftists War of 1975-1977 ;Intra-State War #800 ;Intra-State War 
515;1975; Second Lebanese War of 1975-1976 ;Intra-State War #801 ;Intra-State War 
516;1975; East Timorese War Phase 1 of 1975 ;Non-State War #1582 ;Non-State War 
517;1975; East Timorese War Phase 2 of 1975-1976 ;Extra-State War #472 ;Extra-State War 
518;1975; Namibian War of 1975-1988 ;Extra-State War #473 ;Extra-State War 
519;1975;War over Angola of 1975-1976 ;Inter-State War #186 ;Inter-State War 
520;1975; Western Sahara War of 1975-1983 ;Extra-State War #474 ;Extra-State War 
521;1976; Second West Papua War of 1976-1978 ;Intra-State War #802 ;Intra-State War 
522;1976; Third Laotian War of 1976-1979 ;Intra-State War #803 ;Intra-State War 
523;1976; Angolan Control War of 1976-1991 ;Intra-State War #804 ;Intra-State War 
524;1976; Second Ogaden War Phase 1 of 1976-1977 ;Intra-State War #805 ;Intra-State War 
525;1976; East Timorese War Phase 3 of 1976-1979 ;Intra-State War #806 ;Intra-State War 
526;1977; Second Ogaden War Phase 2 of 1977-1978 ;Inter-State War #187 ;Inter-State War 
527;1977; Vietnamese-Cambodian Border War of 1977-1979 ;Inter-State War #189 ;Inter-State War 
528;1978; Third Lebanese War of 1978 ;Intra-State War #807 ;Intra-State War 
529;1978; Second Ogaden War Phase 3 of 1978-1980 ;Intra-State War #808 ;Intra-State War 
530;1978; Third Guatemala War of 1978-1984 ;Intra-State War #809 ;Intra-State War 
531;1978; Saur Revolution of 1978 ;Intra-State War #810 ;Intra-State War 
532;1978; Fourth DRC (Shaba) War of 1978 ;Intra-State War #811 ;Intra-State War 
533;1978; First Afghan Mujahideen Uprising of 1978-1980 ;Intra-State War #812 ;Intra-State War 
534;1978; Overthrow of the Shah of 1978-1979 ;Intra-State War #813 ;Intra-State War 
535;1978; Sandinista Rebellion of 1978-1979 ;Intra-State War #815 ;Intra-State War 
536;1978; Ugandan-Tanzanian War of 1978-1979 ;Inter-State War #190 ;Inter-State War 
537;1979; Khmer Insurgency of 1979-1989 ;Extra-State War #475 ;Extra-State War 
538;1979; Anti-Khomeini Coalition War of 1979-1984 ;Intra-State War #816 ;Intra-State War 
539;1979; Sino-Vietnamese Punitive War of 1979 ;Inter-State War #193 ;Inter-State War 
540;1979; El Salvador War of 1979-1992 ;Intra-State War #817 ;Intra-State War 
541;1979; Mozambique War of 1979-1992 ;Intra-State War #818 ;Intra-State War 
542;1980; Soviet Quagmire of 1980-1989 ;Extra-State War #476 ;Extra-State War 
543;1980; Second Chad (Habre Revolt) War of 1980-1984 ;Intra-State War #820 ;Intra-State War 
544;1980; Iran-Iraq War of 1980-1988 ;Inter-State War #199 ;Inter-State War 
545;1980; Second Uganda War of 1980-1986 ;Intra-State War #822 ;Intra-State War 
546;1980; Nigeria-Muslim War of 1980-1981 ;Intra-State War #823 ;Intra-State War 
547;1981; Hama War of 1981-1982 ;Intra-State War #825 ;Intra-State War 
548;1982; Tigrean and Eritrean War of 1982-1991 ;Intra-State War #826 ;Intra-State War 
549;1982; Shining Path War of 1982-1992 ;Intra-State War #827 ;Intra-State War 
550;1982; Contra War of 1982-1990 ;Intra-State War #828 ;Intra-State War 
551;1982; Falklands War of 1982 ;Inter-State War #202 ;Inter-State War 
552;1982; War over Lebanon of 1982 ;Inter-State War #205 ;Inter-State War 
553;1983; Matabeleland War of 1983-1987 ;Intra-State War #831 ;Intra-State War 
554;1983; Fourth Burmese War of 1983-1988 ;Intra-State War #832 ;Intra-State War 
555;1983; Fourth Lebanese Civil War of 1983-1984 ;Intra-State War #833 ;Intra-State War 
556;1983; First Sri Lanka Tamil War of 1983-2002 ;Intra-State War #835 ;Intra-State War 
557;1983; Second South Sudan War of 1983-2005 ;Intra-State War #836 ;Intra-State War 
558;1984; Indian Golden Temple War of 1984 ;Intra-State War #837 ;Intra-State War 
559;1984; First Turkish Kurds War of 1984-1986 ;Intra-State War #838 ;Intra-State War 
560;1985; Fifth Iraqi Kurds War of 1985-1988 ;Intra-State War #840 ;Intra-State War 
561;1986; South Yemen War of 1986 ;Intra-State War #842 ;Intra-State War 
562;1986; Holy Spirit Movement War of 1986-1987 ;Intra-State War #843 ;Intra-State War 
563;1986; War over the Aouzou Strip of 1986-1987 ;Inter-State War #207 ;Inter-State War 
564;1987; Sino-Vietnamese Border War of 1987 ;Inter-State War #208 ;Inter-State War 
565;1987; Second Sri Lanka-JVP War of 1987-1989 ;Intra-State War #845 ;Intra-State War 
566;1987; Inkatha-ANC War of 1987-1994 ;Intra-State War #846 ;Intra-State War 
567;1988; Fifth Burmese War of 1988 ;Intra-State War #847 ;Intra-State War 
568;1988; First Somalia War of 1988-1991 ;Intra-State War #848 ;Intra-State War 
569;1989; Fifth Lebanese War of 1989-1990 ;Intra-State War #850 ;Intra-State War 
570;1989; Second Afghan Mujahideen Uprising of 1989-2001 ;Intra-State War #851 ;Intra-State War 
571;1989; Third Chad (Deby Coup) War of 1989-1990 ;Intra-State War #852 ;Intra-State War 
572;1989; First Aceh War of 1989-1991 ;Intra-State War #853 ;Intra-State War 
573;1989; Bougainville Secession War of 1989-1992 ;Intra-State War #854 ;Intra-State War 
574;1989; Eighth Colombian War of 1989-present ;Intra-State War #856 ;Intra-State War 
575;1989; First Cambodian Civil War of 1989-1991 ;Intra-State War #857 ;Intra-State War 
576;1989; Romania War of 1989 ;Intra-State War #858 ;Intra-State War 
577;1989;The First Liberia War of 1989-1990 ;Intra-State War #860 ;Intra-State War 
578;1990; Gulf War of 1990-1991 ;Inter-State War #211 ;Inter-State War 
579;1990; Kashmir Insurgents War of 1990-2005 ;Intra-State War #861 ;Intra-State War 
580;1991; Shiite and Kurdish War of 1991 ;Intra-State War #862 ;Intra-State War 
581;1991; First Sierra Leone War of 1991-1996 ;Intra-State War #863 ;Intra-State War 
582;1991; Croatian Independence War of 1991-1992 ;Intra-State War #864 ;Intra-State War 
583;1991; Second Turkish Kurds War of 1991-1999 ;Intra-State War #865 ;Intra-State War 
584;1991; First PKK in Iraq of 1991-1992 ;Extra-State War #477 ;Extra-State War 
585;1991;  SPLA Division (Dinka-Nuer) War of 1991-1992 ;Intra-State War #866 ;Intra-State War 
586;1991; Jukun-Tiv War of 1991-1992 ;Intra-State War #868 ;Intra-State War 
587;1991; Second Somalia War of 1991-1997 ;Intra-State War #870 ;Intra-State War 
588;1991; Georgia War of 1991-1992 ;Intra-State War #871 ;Intra-State War 
589;1991; Nagorno-Karabakh War of 1991-1993 ;Intra-State War #872 ;Intra-State War 
590;1991; Dniestrian Independence War of 1991-1992 ;Intra-State War #873 ;Intra-State War 
591;1992; Algerian Islamic Front War of 1992-1999 ;Intra-State War #875 ;Intra-State War 
592;1992; War of Bosnian Independence of 1992 ;Inter-State War #215 ;Inter-State War 
593;1992; Tajikistan War of 1992-1997 ;Intra-State War #876 ;Intra-State War 
594;1992; Bosnian-Serb Rebellion of 1992-1995 ;Intra-State War #877 ;Intra-State War 
595;1992; Second Liberia War of 1992-1995 ;Intra-State War #878 ;Intra-State War 
596;1992; Angolan War of Cities of 1992-1994 ;Intra-State War #880 ;Intra-State War 
597;1993; Second Cambodia Civil War of 1993-1997 ;Intra-State War #881 ;Intra-State War 
598;1993; Azeri-Armenian War of 1993-1994 ;Inter-State War #216 ;Inter-State War 
599;1993; Abkhazia Revolt of 1993-1994 ;Intra-State War #882 ;Intra-State War 
600;1993; Second Burundi War of 1993-1998 ;Intra-State War #883 ;Intra-State War 
601;1994; South Yemeni Secessionist War of 1994 ;Intra-State War #885 ;Intra-State War 
602;1994; Second Rwanda War of 1994 ;Intra-State War #886 ;Intra-State War 
603;1994; First Chechnya War of 1994-1996 ;Intra-State War #888 ;Intra-State War 
604;1994; Iraqi Kurd Internecine War of 1994-1995 ;Intra-State War #890 ;Intra-State War 
605;1995; Cenepa Valley War of 1995 ;Inter-State War #217 ;Inter-State War 
606;1995; Croatia-Krajina War of 1995 ;Intra-State War #891 ;Intra-State War 
607;1996; Third Liberia War of 1996 ;Intra-State War #892 ;Intra-State War 
608;1996; Sixth Iraqi Kurds War of 1996 ;Intra-State War #893 ;Intra-State War 
609;1996; Fifth DRC War of 1996-1997 ;Intra-State War #895 ;Intra-State War 
610;1997; Third Rwanda War of 1997-1998 ;Intra-State War #896 ;Intra-State War 
611;1997; Second PKK in Iraq of 1997 ;Extra-State War #479 ;Extra-State War 
612;1997; First Congo Brazzaville War of 1997 ;Intra-State War #897 ;Intra-State War 
613;1998; Second Sierra Leone War of 1998-2000 ;Intra-State War #898 ;Intra-State War 
614;1998; Kosovo Independence War of 1998-1999 ;Intra-State War #900 ;Intra-State War 
615;1998; Badme Border War of 1998-2000 ;Inter-State War #219 ;Inter-State War 
616;1998; Guinea-Bissau Military War of 1998-1999 ;Intra-State War #902 ;Intra-State War 
617;1998; Africa's World War of 1998-2002 ;Intra-State War #905 ;Intra-State War 
618;1998; Fourth Chad (Togoimi Revolt) War of 1998-2000 ;Intra-State War #906 ;Intra-State War 
619;1998; Third Angolan War of 1998-2002 ;Intra-State War #907 ;Intra-State War 
620;1998; Second Congo (Brazzaville) War of 1998-1999 ;Intra-State War #908 ;Intra-State War 
621;1999; Moluccas Sectarian War of 1999-2000 ;Intra-State War #910 ;Intra-State War 
622;1999; War for Kosovo of 1999 ;Inter-State War #221 ;Inter-State War 
623;1999; First Nigeria Christian-Muslim War of 1999-2000 ;Intra-State War #911 ;Intra-State War 
624;1999; Second Aceh War of 1999-2002 ;Intra-State War #912 ;Intra-State War 
625;1999; Kargil War of 1999 ;Inter-State War #223 ;Inter-State War 
626;1999; Oromo Liberation War of 1999 ;Intra-State War #913 ;Intra-State War 
627;1999; Hema-Lendu War of 1999-2005 ;Non-State War #1594 ;Non-State War 
628;1999; Second Chechnya War of 1999-2003 ;Intra-State War #915 ;Intra-State War 
629;2000; Second Philippine-Moro War of 2000-2001 ;Intra-State War #916 ;Intra-State War 
630;2000; Guinean War of 2000-2001 ;Intra-State War #917 ;Intra-State War 
631;2000; Al Aqsa Intifada of 2000-2003 ;Extra-State War #480 ;Extra-State War 
632;2001; Third Burundi War of 2001-2003 ;Intra-State War #918 ;Intra-State War 
633;2001; Fourth Rwanda War of 2001 ;Intra-State War #920 ;Intra-State War 
634;2001; Invasion of Afghanistan of 2001 ;Inter-State War #225 ;Inter-State War 
635;2001; First Nepal Maoist Insurgency of 2001-2003 ;Intra-State War #921 ;Intra-State War 
636;2001; Afghan Resistance of 2001-present ;Extra-State War #481 ;Extra-State War 
637;2002; Fourth Liberia War of 2002-2003 ;Intra-State War #922 ;Intra-State War 
638;2002; Ethiopian Anyuaa-Nuer War of 2002-2003 ;Intra-State War #923 ;Intra-State War 
639;2002; Cote d'Ivoire Military War of 2002-2004 ;Intra-State War #925 ;Intra-State War 
640;2003; Third Philippine-Moro War of 2003 ;Intra-State War #926 ;Intra-State War 
641;2003; Darfur War of 2003-2006 ;Intra-State War #927 ;Intra-State War 
642;2003; Invasion of Iraq of 2003 ;Inter-State War #227 ;Inter-State War 
643;2003; Iraqi Resistance of 2003-present ;Extra-State War #482 ;Extra-State War 
644;2003; Third Aceh War of 2003-2004 ;Intra-State War #930 ;Intra-State War 
645;2003; Second Nepal Maoists War of 2003-2006 ;Intra-State War #931 ;Intra-State War 
646;2004; Waziristan War of 2004-2006 ;Intra-State War #932 ;Intra-State War 
647;2004; Second Nigeria Christian-Muslim War of 2004 ;Intra-State War #933 ;Intra-State War 
648;2004; First Yemeni Cleric War of 2004-2005 ;Intra-State War #935 ;Intra-State War 
649;2005; Philippine Joint Offensive of 2005-2006 ;Intra-State War #936 ;Intra-State War 
650;2005; Fifth Chad War of 2005-2006 ;Intra-State War #937 ;Intra-State War 
651;2006; Third Somalia War of 2006-2008 ;Intra-State War #938 ;Intra-State War 
652;2006; Second Sri Lanka Tamil War of 2006-present ;Intra-State War #940 ;Intra-State War 
653;2007; Second Yemeni Cleric War of 2007 ;Intra-State War #941 ;Intra-State War 
